time_id,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,year_month,is_rainy_season,is_dengue_peak,is_school_holiday,is_ramadan,is_lebaran
297,2022-10-24,2022,4,10,October,43,0,Monday,False,2022-10,True,False,False,False,False
298,2022-10-25,2022,4,10,October,43,1,Tuesday,False,2022-10,True,False,False,False,False
299,2022-10-26,2022,4,10,October,43,2,Wednesday,False,2022-10,True,False,False,False,False
300,2022-10-27,2022,4,10,October,43,3,Thursday,False,2022-10,True,False,False,False,False
301,2022-10-28,2022,4,10,October,43,4,Friday,False,2022-10,True,False,False,False,False
302,2022-10-29,2022,4,10,October,43,5,Saturday,True,2022-10,True,False,False,False,False
303,2022-10-30,2022,4,10,October,43,6,Sunday,True,2022-10,True,False,False,False,False
304,2022-10-31,2022,4,10,October,44,0,Monday,False,2022-10,True,False,False,False,False
305,2022-11-01,2022,4,11,November,44,1,Tuesday,False,2022-11,True,False,False,False,False
306,2022-11-02,2022,4,11,November,44,2,Wednesday,False,2022-11,True,False,False,False,False
307,2022-11-03,2022,4,11,November,44,3,Thursday,False,2022-11,True,False,False,False,False
308,2022-11-04,2022,4,11,November,44,4,Friday,False,2022-11,True,False,False,False,False
